word,proportion in topic 0,proportion in topic 1,proportion in topic 2,proportion in topic 3,proportion in topic 4,p(topic0|word),p(topic1|word),p(topic2|word),p(topic3|word),p(topic4|word)
appear,0.00022388269,0,0.00017877012,0.0007461468,0.00015404438,0.17184151971018227,0,0.13721529545908553,0.5727061723091691,0.11823701252156311
importer,0,0,0.00018616863,0,0,0,0,1.0,0,0
policing,2.066468e-05,0,0,0,0,1.0,0,0,0,0
forth,0,0,2.766622e-05,0,0,0,0,1.0,0,0
forfeiture,0,0,1.0548147e-05,0,0,0,0,1.0,0,0
exert,2.0284557e-05,0,0,0,0,1.0,0,0,0,0
rulemake,0,0,6.274799e-05,0,0,0,0,1.0,0,0
borne,0,0,1.0548137e-05,0,0,0,0,1.0,0,0
blackboard,0,0,0,2.5581483e-05,0,0,0,0,1.0,0
insupply,0,0,0,2.5412513e-05,0,0,0,0,1.0,0
unigram,0,0,0,0.00015083255,0,0,0,0,1.0,0
ruth,0,0,1.0548761e-05,0,6.125914e-05,0,0,0.14690250875257513,0,0.8530974912474248
scoping,0,0,6.24607e-05,0,0,0,0,1.0,0,0
expense,0,0,0,0,6.127398e-05,0,0,0,0,1.0
enumerated,0,0.00010316596,0,0,0,0,1.0,0,0,0
charef,5.388548e-05,0,0,0,0,1.0,0,0,0,0
default,2.0791014e-05,0,2.7657727e-05,0,6.114224e-05,0.18971465358254144,0,0.25237229605752876,0,0.5579130503599298
dori,0,0,0,6.662223e-05,0,0,0,0,1.0,0
criteria,0,0,0,6.649351e-05,0,0,0,0,1.0,0
marginal,0,0,4.5147262e-05,0.000108625274,0,0,0,0.293597695863317,0.7064023041366829,0
thousand,2.0379957e-05,0.00026772643,0,0,6.101473e-05,0.05837503513365366,0.7668583105245718,0,0,0.17476665434177455
suspicious,0,0,1.0548157e-05,0,0,0,0,1.0,0,0
quantification,8.7963235e-05,0,1.0504578e-05,0,0,0.8933196754312918,0,0.10668032456870825,0,0
allocation,0.00025978277,0,4.4772944e-05,0,0,0.8529893166792722,0,0.14701068332072775,0,0
ri,0,0,0,0,0.00021655131,0,0,0,0,1.0
wide_range,0.00010255024,0,9.1385504e-05,0,0.00013608599,0.31073784330392085,0,0.27690753012455926,0,0.4123546265715199
basingstoke,0,0,0,2.5571117e-05,0,0,0,0,1.0,0
kendall,0,0,1.014835e-05,0,0,0,0,1.0,0,0
sort,0,0,0.00018183557,0.0002459276,9.990581e-05,0,0,0.34460158666843754,0.4660641630201547,0.18933425031140777
uniformly,0,0,0,2.5581508e-05,0,0,0,0,1.0,0
